Replicate.Name,Molecule.List.Name,Molecule.Name,Experiment,Phase,Treatment,Bioreplicate,fmol.oncolumn,fmol per sample,nmol,molecules.per.cell,molecules.per.cell.bio.rep,nmol cobalamin per bio rep,mol carbon per sample,nmole cobalamin analog per mol carbon,LOD.fmol.column,LOQ.fmol.column,QC (LOD),QC (LOQ)
20230120_ER4_124_06_104,Cobalamin,B12-Ado,Deplete,Particulate,+,C,1.552695195,62.1078078,6.21E-05,76.00219597,74.3253529,6.07E-05,1.31E-06,46,0.507156306,1.69052102, ,<LOQ
20230120_ER4_124_06_105,Cobalamin,B12-Ado,Deplete,Particulate,+,C,1.484180696,59.36722785,5.94E-05,72.64850983,,,,,0.507156306,1.69052102, ,<LOQ
20230120_ER4_124_01_87,Cobalamin,B12-CN,Deplete,Particulate,-,A,0.000174209,0.006968351,6.97E-09,0.009004462,0.04127045,3.19E-08,1.24E-06,0,0.641283405,2.137611349,<LOD,<LOQ
20230120_ER4_124_01_88,Cobalamin,B12-CN,Deplete,Particulate,-,A,0.001422705,0.056908197,5.69E-08,0.073536438,,,,,0.641283405,2.137611349,<LOD,<LOQ
20230120_ER4_124_02_90,Cobalamin,B12-CN,Deplete,Particulate,-,B,0.002467958,0.098718301,9.87E-08,0.125824495,1.673465789,1.31E-06,1.26E-06,1,0.641283405,2.137611349,<LOD,<LOQ
20230120_ER4_124_02_91,Cobalamin,B12-CN,Deplete,Particulate,-,B,0.063179712,2.5271885,2.53E-06,3.221107082,,,,,0.641283405,2.137611349,<LOD,<LOQ
20230120_ER4_124_03_93,Cobalamin,B12-CN,Deplete,Particulate,-,C,0,0,0,0,0.202008931,1.54E-07,1.23E-06,0,0.641283405,2.137611349,<LOD,<LOQ
20230120_ER4_124_03_94,Cobalamin,B12-CN,Deplete,Particulate,-,C,0.007723255,0.308930212,3.09E-07,0.404017862,,,,,0.641283405,2.137611349,<LOD,<LOQ
20230120_ER4_124_04_96,Cobalamin,B12-CN,Deplete,Particulate,+,A,1.342191438,53.68765752,5.37E-05,66.41359649,73.07981077,5.91E-05,1.30E-06,46,0.641283405,2.137611349, ,<LOQ
20230120_ER4_124_04_97,Cobalamin,B12-CN,Deplete,Particulate,+,A,1.61163433,64.46537318,6.45E-05,79.74602505,,,,,0.641283405,2.137611349, ,<LOQ
20230120_ER4_124_05_100,Cobalamin,B12-CN,Deplete,Particulate,+,B,1.127769482,45.11077927,4.51E-05,58.02295941,46.19563896,3.59E-05,1.25E-06,29,0.641283405,2.137611349, ,<LOQ
20230120_ER4_124_05_99,Cobalamin,B12-CN,Deplete,Particulate,+,B,0.668003513,26.72014054,2.67E-05,34.3683185,,,,,0.641283405,2.137611349, ,<LOQ
20230120_ER4_124_06_104,Cobalamin,B12-CN,Deplete,Particulate,+,C,1.06731904,42.6927616,4.27E-05,52.24373149,54.126126,4.42E-05,1.31E-06,34,0.641283405,2.137611349, ,<LOQ
20230120_ER4_124_06_105,Cobalamin,B12-CN,Deplete,Particulate,+,C,1.14423221,45.76928841,4.58E-05,56.00852052,,,,,0.641283405,2.137611349, ,<LOQ
20230120_ER4_124_01_87,Cobalamin,B12-Me,Deplete,Particulate,-,A,0.356142538,14.24570151,1.42E-05,18.4082118,12.50093558,9.67E-06,1.24E-06,8,1.083062321,3.610207736,<LOD,<LOQ
20230120_ER4_124_01_88,Cobalamin,B12-Me,Deplete,Particulate,-,A,0.127567121,5.102684833,5.10E-06,6.593659363,,,,,1.083062321,3.610207736,<LOD,<LOQ
20230120_ER4_124_02_90,Cobalamin,B12-Me,Deplete,Particulate,-,B,0.377191819,15.08767276,1.51E-05,19.23046484,15.89214257,1.25E-05,1.26E-06,10,1.083062321,3.610207736,<LOD,<LOQ
20230120_ER4_124_02_91,Cobalamin,B12-Me,Deplete,Particulate,-,B,0.24623421,9.849368399,9.85E-06,12.55382031,,,,,1.083062321,3.610207736,<LOD,<LOQ
20230120_ER4_124_03_93,Cobalamin,B12-Me,Deplete,Particulate,-,C,1.036783056,41.47132225,4.15E-05,54.23605168,54.97136809,4.20E-05,1.23E-06,34,1.083062321,3.610207736,<LOD,<LOQ
20230120_ER4_124_03_94,Cobalamin,B12-Me,Deplete,Particulate,-,C,1.064895855,42.59583419,4.26E-05,55.7066845,,,,,1.083062321,3.610207736,<LOD,<LOQ
20230120_ER4_124_04_96,Cobalamin,B12-Me,Deplete,Particulate,+,A,1.877341604,75.09366417,7.51E-05,92.89360984,103.8718184,8.40E-05,1.30E-06,65,1.083062321,3.610207736, ,<LOQ
20230120_ER4_124_04_97,Cobalamin,B12-Me,Deplete,Particulate,+,A,2.321071756,92.84287022,9.28E-05,114.8500271,,,,,1.083062321,3.610207736, ,<LOQ
20230120_ER4_124_05_100,Cobalamin,B12-Me,Deplete,Particulate,+,B,1.571208768,62.84835074,6.28E-05,80.83760384,74.98665337,5.83E-05,1.25E-06,47,1.083062321,3.610207736, ,<LOQ
20230120_ER4_124_05_99,Cobalamin,B12-Me,Deplete,Particulate,+,B,1.343763514,53.75054057,5.38E-05,69.13570291,,,,,1.083062321,3.610207736, ,<LOQ
20230120_ER4_124_06_104,Cobalamin,B12-Me,Deplete,Particulate,+,C,1.833689068,73.34756272,7.33E-05,89.7564418,74.13550173,6.06E-05,1.31E-06,46,1.083062321,3.610207736, ,<LOQ
20230120_ER4_124_06_105,Cobalamin,B12-Me,Deplete,Particulate,+,C,1.195429653,47.81718611,4.78E-05,58.51456167,,,,,1.083062321,3.610207736, ,<LOQ
20230120_ER4_124_01_87,Cobalamin,B12-OH,Deplete,Particulate,-,A,0.230631472,9.225258889,9.23E-06,11.39750269,12.47430104,1.01E-05,1.24E-06,8,0.545176066,1.817253554,<LOD,<LOQ
20230120_ER4_124_01_88,Cobalamin,B12-OH,Deplete,Particulate,-,A,0.275342257,11.01369027,1.10E-05,13.55109939,,,,,0.545176066,1.817253554,<LOD,<LOQ
20230120_ER4_124_02_90,Cobalamin,B12-OH,Deplete,Particulate,-,B,0.16542706,6.617082417,6.62E-06,8.108230558,8.778501324,7.18E-06,1.26E-06,6,0.545176066,1.817253554,<LOD,<LOQ
20230120_ER4_124_02_91,Cobalamin,B12-OH,Deplete,Particulate,-,B,0.193566715,7.742668602,7.74E-06,9.44877209,,,,,0.545176066,1.817253554,<LOD,<LOQ
20230120_ER4_124_03_93,Cobalamin,B12-OH,Deplete,Particulate,-,C,0.328722329,13.14889315,1.31E-05,15.98108567,18.18862242,1.50E-05,1.23E-06,12,0.545176066,1.817253554,<LOD,<LOQ
20230120_ER4_124_03_94,Cobalamin,B12-OH,Deplete,Particulate,-,C,0.421242102,16.84968409,1.68E-05,20.39615916,,,,,0.545176066,1.817253554,<LOD,<LOQ
20230120_ER4_124_04_96,Cobalamin,B12-OH,Deplete,Particulate,+,A,1.457662533,58.30650131,5.83E-05,70.29432502,80.47156514,6.69E-05,1.30E-06,52,0.545176066,1.817253554, ,<LOQ
20230120_ER4_124_04_97,Cobalamin,B12-OH,Deplete,Particulate,+,A,1.887318108,75.4927243,7.55E-05,90.64880525,,,,,0.545176066,1.817253554, , 
20230120_ER4_124_05_100,Cobalamin,B12-OH,Deplete,Particulate,+,B,1.360282273,54.41129094,5.44E-05,65.07388174,54.93372194,4.60E-05,1.25E-06,37,0.545176066,1.817253554, ,<LOQ
20230120_ER4_124_05_99,Cobalamin,B12-OH,Deplete,Particulate,+,B,0.940091855,37.6036742,3.76E-05,44.79356215,,,,,0.545176066,1.817253554, ,<LOQ
20230120_ER4_124_06_104,Cobalamin,B12-OH,Deplete,Particulate,+,C,1.251589304,50.06357218,5.01E-05,59.39934716,63.39024403,5.35E-05,1.31E-06,41,0.545176066,1.817253554, ,<LOQ
20230120_ER4_124_06_105,Cobalamin,B12-OH,Deplete,Particulate,+,C,1.425401414,57.01605654,5.70E-05,67.3811409,,,,,0.545176066,1.817253554, ,<LOQ
20230120_ER4_124_01_87,,total cobalamin ,Deplete,Particulate,-,A,0.622240838,24.88963353,2.49E-05,31.63891557,26.17524421,2.07E-05,1.24E-06,17,,,,
20230120_ER4_124_01_88,,total cobalamin ,Deplete,Particulate,-,A,0.413875495,16.5550198,1.66E-05,20.71157285,,,,,,,,
20230120_ER4_124_02_90,,total cobalamin ,Deplete,Particulate,-,B,0.551073978,22.04295911,2.20E-05,27.76976379,26.49673164,2.11E-05,1.24E-06,17,,,,
20230120_ER4_124_02_91,,total cobalamin ,Deplete,Particulate,-,B,0.502980638,20.1192255,2.01E-05,25.22369948,,,,,,,,
20230120_ER4_124_03_93,,total cobalamin ,Deplete,Particulate,-,C,1.368836576,54.75346305,5.48E-05,70.39139816,73.9789769,5.77E-05,1.24E-06,46,,,,
20230120_ER4_124_03_94,,total cobalamin ,Deplete,Particulate,-,C,1.514118456,60.56473823,6.06E-05,77.56655563,,,,,,,,
20230120_ER4_124_04_96,,total cobalamin ,Deplete,Particulate,+,A,6.219717132,248.7886853,0.000248789,305.9277553,337.5216257,2.75E-04,1.29E-06,214,,,,
20230120_ER4_124_04_97,,total cobalamin ,Deplete,Particulate,+,A,7.515015268,300.6006107,0.000300601,369.1154962,,,,,,,,
20230120_ER4_124_05_100,,total cobalamin ,Deplete,Particulate,+,B,5.501396186,220.0558474,0.000220056,278.1313268,241.5721347,1.91E-04,1.29E-06,149,,,,
20230120_ER4_124_05_99,,total cobalamin ,Deplete,Particulate,+,B,4.05421305,162.168522,0.000162169,205.0129426,,,,,,,,
20230120_ER4_124_06_104,,total cobalamin ,Deplete,Particulate,+,C,5.705292607,228.2117043,0.000228212,277.4017164,265.9772247,2.19E-04,1.29E-06,170,,,,
20230120_ER4_124_06_105,,total cobalamin ,Deplete,Particulate,+,C,5.249243973,209.9697589,0.00020997,254.5527329,,,,,,,,
